total_output_power,pa1,pa2,pa3
694.07,225.01,226.88,226.05
694.41,224.34,226.45,225.66
694.09,223.8,227.06,226.33
694.13,224.54,227.02,226.15
693.71,221.76,226.77,225.1
694.65,225.53,226.9,225.64
692.93,225.11,225.64,224.88
695.99,224.46,227.26,225.93
694.06,224.79,227.07,225.52
695.6,225.1,227.19,226.05
695.43,225.64,227.12,226.23
695.36,225.43,227.74,225.97
695.68,224.82,226.44,226.7
693.63,225.39,225.32,226.26
693.45,224.12,225.52,226.29
694.05,224.48,225.84,226.69
692.83,225.17,225.88,225.11
693.37,224.4,226.39,226.01
694.12,224.15,227.09,226.43
695.12,225.02,226.39,227.17
697.15,226.36,227.27,226.48
695.93,224.74,226.86,225.17
695.69,224.3,227.01,225.87
694.04,224.26,226.77,225.55
696.17,225.48,226.91,225.97
694.87,225.13,226.63,225.67
695.35,224.81,226.88,226.64
695.02,224.08,226.84,225.89
696.75,225.77,226.36,226.94
696.26,225.8,227.43,225.91
694.74,225.55,226.67,225
695.79,225.13,226.96,225.17
695.1,224.74,226.59,226.04
695.15,224.15,225.76,226.16
696.8,224.93,226.71,227
695.97,225.39,225.64,226.44
696.95,225.64,226.19,226.82
694,224.36,225.83,226.9
695.34,224.03,225.45,226.47
695.45,223.43,225.85,226.5
694.28,223.92,226.24,225.2
693.23,226.15,226.05,225.1
693.63,225.94,225.04,225.93
695.57,226.03,225.53,226.16
694.69,226.5,225.1,226.15
696.98,225.94,225.73,226.37
695.66,225.47,224.94,226.06
695.76,225.79,225.19,225.7
693.54,224.76,225.64,226.08
694.43,224.76,225.43,226.31
692.44,223.94,225.86,226.25
693.14,224.4,225.64,225.92
694.71,225.15,225.53,226.15
694.19,224.73,225.86,227.02
693.58,224.75,225.64,226.56
692.13,224.38,225.75,225.97
692.19,224.56,225.06,225.89
693.75,225.13,225.04,226.47
694.74,225.03,225.32,226.46
694.79,225.15,225.12,226.69
696.65,225.56,226.27,227.21
692.78,223.74,225.8,226.07
693.55,224.5,225.62,226.35
693.01,224.07,225.72,225.33
694.52,224.9,225.64,227.46
695.68,225.97,225.96,226.71
693.63,224.62,225.95,226.23
691.83,223.98,225.43,225.85
693.15,224.5,225.54,226.36
695.83,225.05,227.44,225.32
693.21,224.81,225.44,226.69
692.35,223.96,225.1,226.73
694.24,224.68,225.71,226.98
694.49,225.34,225.39,225.95
695.03,225.72,226.04,225.73
694.07,224.82,225.95,225.65
693.76,224.81,225.53,225.77
693.52,225.85,225.21,225.66
696.79,225.12,226.38,227.72
696.79,225.4,226.93,226.11
694.99,224.75,226.84,225.2
697.95,224.97,226.92,227.04
696.65,224.21,226.36,227.11
694.36,224.16,226.24,226.13
694.46,224.64,225.61,226.14
693.29,224.48,226.15,226.3
696.2,225.45,226.51,226.63
695.84,224.98,227.02,225.95
696.07,224.06,227.26,226.14
694.66,224.66,226.03,226.15
697.63,225.53,226.04,226.93
692.81,224.17,225.26,224.75
693.2,224.21,225.33,225.92
695.61,224.6,226.56,227.37
695.07,225.79,226.15,225.94
697.13,226.8,226.84,225.73
696.43,225.4,227.05,226.63
696.58,225.42,226.78,226.87
697.2,225.32,226.76,226.16
696.95,225.4,226.61,226.34
695.54,224.5,226.53,226.19
694.51,226.01,226.45,225.83
694.44,224.74,226.35,225.85
